Name,Closeness,Total Infections,Total Deaths,Max. New Cases in a day,Average Aggregate Consumption,Min. Aggregate Consumption,Average Unemployment,Max. Unemployment,Max. hospitalisations and ICU in a day,Social Stress Score
sweden_no_lockdown,0.7734373304852148,0.028,0.0161,0.0273,0.0501,0.0625,0.0143,0.0105,0.0133,0.0079
no_policy,0.7308432843801691,0.0312,0.0334,0.031,0.0507,0.0635,0.0063,0.0046,0.0211,0.0089
sweden_afterlockdown_120,0.524261007426944,0.022,0.0116,0.0197,0.048,0.0526,0.0461,0.0694,0.0102,0.0079
basic_until_120,0.5213810186428701,0.0241,0.0213,0.0262,0.0483,0.0526,0.0413,0.0692,0.0162,0.0079
decaying_cyclic120,0.46699786732163323,0.0202,0.0128,0.0084,0.0469,0.0523,0.0622,0.0708,0.0048,0.0039
phased_exit120,0.41999277425481624,0.0192,0.0122,0.0059,0.0461,0.0525,0.0739,0.0698,0.0041,0.0069
cyclic120_7_7,0.4029229979434415,0.0205,0.0156,0.0183,0.0463,0.0521,0.0714,0.0708,0.0105,0.0059
cyclic120,0.35977972249636864,0.0178,0.0123,0.0111,0.0454,0.0523,0.0845,0.0708,0.0066,0.0049
china_adaptive_120,0.26816754795617387,0.0051,0.0032,0.0015,0.0419,0.0512,0.1308,0.0793,0.001,0.0099
basic_until_485,0.2658074672083536,0.0082,0.0057,0.0034,0.0421,0.0523,0.1249,0.0727,0.0025,0.0099
