Name,Closeness,Total Infections,Total Deaths,Max. New Cases in a day,Average Aggregate Consumption,Min. Aggregate Consumption,Average Unemployment,Max. Unemployment,Max. hospitalisations and ICU in a day,Social Stress Score
china_adaptive_120,0.7710991537475139,0.0225,0.0146,0.0035,0.0127,0.0184,0.0517,0.0298,0.001,0.0097
basic_until_485,0.7542856297310156,0.0361,0.026,0.0079,0.0128,0.0187,0.0494,0.0273,0.0024,0.0097
phased_exit120,0.6053502317235031,0.0844,0.0555,0.0138,0.014,0.0188,0.0292,0.0262,0.004,0.0068
cyclic120,0.5977376905968044,0.0784,0.0562,0.0258,0.0138,0.0187,0.0334,0.0266,0.0064,0.0048
decaying_cyclic120,0.581753847194688,0.0889,0.0584,0.0195,0.0142,0.0188,0.0246,0.0266,0.0047,0.0039
sweden_afterlockdown_120,0.5414470174339193,0.0968,0.0527,0.0457,0.0145,0.0189,0.0182,0.0261,0.0099,0.0077
cyclic120_7_7,0.49608707026439397,0.0901,0.0713,0.0425,0.014,0.0187,0.0282,0.0266,0.0102,0.0058
sweden_no_lockdown,0.42502371750725954,0.123,0.0732,0.0632,0.0152,0.0224,0.0057,0.004,0.0129,0.0077
basic_until_120,0.354814851390344,0.1058,0.0971,0.0607,0.0146,0.0189,0.0164,0.026,0.0157,0.0077
no_policy,0.22796383884188287,0.1371,0.1525,0.0718,0.0154,0.0228,0.0025,0.0017,0.0205,0.0087
